ID,問題,答え
94,"#94  
credentials
","credentials

意味：
資格、証明書、認証情報、ログイン情報。

文脈で意味が少し変わります。

資格・経歴・実績
例：
She has excellent credentials for the position.
彼女はその職にふさわしい立派な資格・経歴を持っている。

academic credentials
学歴・学位などの資格

professional credentials
職業上の資格・経歴

身分証明書・証明書
例：
Please show your credentials at the entrance.
入口で身分証明書を提示してください。
ITでの「認証情報」
username、password、ID、API key など、本人確認に使う情報です。

例：
Do not share your login credentials.
ログイン認証情報を共有しないでください。

TOEICでは、
credentials = 資格、証明書、身分証明
IT文脈では、
credentials = ID・パスワードなどの認証情報
と考えるとよいです。

語源：
credential はラテン語 credere（クレーデレ）「信じる」から来ています。
credential は「信じるに足るもの」→「資格証明、証明書」という意味になりました。

同じ語源の英語：
credit：信用、クレジット
credible：信頼できる
credibility：信頼性
creed：信条
incredible：信じられない
accredit：認定する
credentials：資格証明、認証情報
"
95,"#95  
Resort areas in Los Angeles are popular holiday destinations,  〇〇 in tourists from all over the world.

A. abundance
B. abundant
C. abound
D. abounds
","この文には述語動詞がないので、空所には動詞が必要です。動詞である C と D のうち、主語の Resort areas in Los Angeles は複数形なので、C の abound を選びます。abound in ～ は「～であふれている」という意味です。
"
96,"#96  
元に戻った、以前の状態に戻された

嫌がっている、反対している、気が進まない。

","reverted：元に戻った、以前の状態に戻された。revert の過去形・過去分詞です。例：The system reverted to its previous settings.＝システムは以前の設定に戻った。

averse
意味：嫌がっている、反対している、気が進まない。

よく使う形：
be averse to ～
＝～を嫌がる、～に反対である、～する気がない
"
97,"#97  
booking access
","booking access

これは文脈によりますが、そのままなら「予約へのアクセス」「予約機能へのアクセス」「予約できる権限」という意味です。

booking
＝ 予約

access
＝ 利用権、アクセス権、入る権利

booking access
＝ 予約システムを使える権限
＝ 予約ページに入れること
＝ 予約内容を確認・変更できるアクセス権

例：
You will receive booking access after registration.
登録後、予約ページにアクセスできるようになります。

Only members have booking access.
会員だけが予約できます。

Please provide booking access to the event staff.
イベントスタッフに予約管理へのアクセス権を与えてください。

ただし、TOEICやホテル・イベント文脈では、booking access よりも、次の表現のほうが自然です。

access to booking
予約へのアクセス

access to the booking system
予約システムへのアクセス

access to your booking
自分の予約情報へのアクセス

priority booking access
優先予約権

語源：
booking は book から来ています。book は古英語 b?c（ボーク）「本、書物」。昔は予約や記録を帳簿に書き込んだため、book が「予約する」という動詞になりました。

access はラテン語 accessus（アクセッスス）「近づくこと」から来ています。元は accedere（アッケーデレ）「近づく」。ad-（アド）「?へ」＋ cedere（ケーデレ）「行く、進む」です。

同じ語源の英語：
book：本、予約する
booking：予約
booklet：小冊子
access：アクセス、利用権
accessible：アクセス可能な、利用しやすい
accessibility：利用しやすさ
concede：譲歩する
proceed：進む
precede：先行する
exceed：超える
"
98,"#98  
affluent
","affluent

意味：
裕福な、金持ちの、豊かな。

例：
an affluent family
裕福な家庭

an affluent neighborhood
裕福な地域、高級住宅街

affluent customers
富裕層の顧客

TOEICでは、rich より少し硬く、上品な言い方です。人・地域・社会・顧客層などに使います。

例文：
The company targets affluent consumers.
その会社は富裕層の消費者を対象にしている。

語源：
affluent はラテン語 affluere（アッフルエレ）「?へ流れ込む」から来ています。
ad-（アド）「?へ」＋ fluere（フルエレ）「流れる」です。

もともとは「水や物が豊かに流れ込む」→「富が流れ込む」→「裕福な、豊かな」という意味になりました。

同じ語源の英語：
flow：流れる
fluid：流体、流動的な
fluent：流暢な
influence：影響
confluence：合流
effluent：排水、流出物
superfluous：余分な
fluency：流暢さ
"
99,"#99  
in case 
","はい、in case は「～するといけないから」「万一～の場合に備えて」という意味で使えます。

例：
Take an umbrella in case it rains.
雨が降るといけないから、傘を持っていきなさい。
＝万一雨が降る場合に備えて、傘を持っていきなさい。

Please write down the number in case you forget it.
忘れるといけないから、その番号を書いておいてください。

注意：
in case は「実際に起きるか分からないことに備える」感じです。

if との違い：
Take an umbrella if it rains.
雨が降ったら傘を持っていきなさい。
→ 雨が降った場合だけ持つ。

Take an umbrella in case it rains.
雨が降るといけないから傘を持っていきなさい。
→ 雨が降る前から備えて持つ。
"
100,"#100  
comply
","comply

意味：従う、応じる、守る。

よく使う形：
comply with ～
＝～に従う、～を守る

comply を使うなら、こうです。

I complied with the request to attend the interview.

意味：
私は面接を受けるようにという依頼に応じた。

Please comply with the terms and conditions.
利用規約に従ってください。

注意：
comply は自動詞なので、目的語を直接取りません。
正：comply with the rules
誤：comply the rules

語源：
comply はラテン語 complere（コンプレーレ）＝満たす、完全にする、から来たとされます。
com-（コム）＝完全に、一緒に
plere（プレーレ）＝満たす

同じ語源の英語：
complete：完成した、完全な
completion：完成
complement：補完するもの
deplete：使い尽くす
replete：満ちた
plenty：たくさん
plenary：全員出席の、完全な
"
101,"#101  
For decades, Lococo Ada has been dependent on foreign factories to manufacture its petroleum products.

A. dependent
B. depend
C. depended
D. dependence
","正解は A. dependent です。

理由：
has been の後ろには、形容詞が入ります。
dependent は形容詞で、「依存している」という意味です。

be dependent on ～
＝～に依存している

B. depend
動詞の原形。「依存する」。has been depend とは言えない。

C. depended
動詞の過去形・過去分詞。has depended on なら可だが、has been depended on だと「依存されてきた」という受け身になるので、この文では不自然。　← ★

D. dependence
名詞。「依存」。has been dependence とは言えない。

注意：
foreign factory は、普通は foreign factories と複数形にするのが自然です。
to manufacturer は誤りで、正しくは to manufacture です。
"
102,"#102  
deem
","deem

意味：
?だと考える、?だと判断する、?とみなす。

普通の think よりも、かなり硬い表現です。法律・規則・会社文書・公式説明でよく出ます。

例：
The proposal was deemed acceptable.
その提案は受け入れ可能と判断された。

The item is deemed necessary.
その品目は必要とみなされる。

Applicants deemed qualified will be contacted.
適格と判断された応募者には連絡します。

よくある形：
deem A B
AをBだとみなす

The committee deemed the plan feasible.
委員会はその計画を実行可能だと判断した。

be deemed + 形容詞 / 名詞
?とみなされる

This information is deemed confidential.
この情報は機密とみなされます。

語源：
deem は古英語 d?man（デーマン）「判断する、裁く」から来ています。
さらに d?m（ドーム）「判断、判決、運命」に関係します。

同じ語源の英語：
doom：破滅、運命、判決を下す
doomsday：最後の審判の日、破滅の日
deem：判断する、みなす

TOEICでは、deem は「公式に判断する」「みなす」という意味で、受け身の be deemed が特に出やすいです。
"
103,"#103  
wrap up
","wrap up

意味：

終える、まとめる、締めくくる
包む、くるむ
暖かく着込む

TOEICで一番重要なのは「終える、まとめる」です。

例：
Let’s wrap up the meeting.
会議を終わりにしましょう。

We need to wrap up the project by Friday.
金曜日までにそのプロジェクトを完了する必要があります。

To wrap up, let me summarize the main points.
最後に、要点をまとめます。

もともとの意味：
wrap は「包む」、up は「すっかり、完全に」なので、wrap up は「完全に包む」→「物事をきれいにまとめる」→「終える、締めくくる」という意味になります。

語源：
wrap は中英語 wrappen（ラッペン）「包む、巻く」から来た語です。さらに古い起源ははっきりしませんが、「巻く、包む」という意味の語です。
up は古英語 up / upp（アップ）「上へ、完全に」です。

同じ wrap を使う語：
wrapper：包装紙、包むもの
wrapping：包装
gift-wrap：贈り物を包む
unwrap：包みを開ける
wraparound：巻き付く形の
wrap-up：まとめ、総括、締めくくり
"
104,"#104  
artifact / artefact 
","artifact / artefact

意味：
人工物、工芸品、遺物。自然にできたものではなく、人間が作った物を指します。特に考古学では「出土品」「遺物」という意味でよく使います。

違い：
artifact は主にアメリカ英語。
artefact は主にイギリス英語。

意味はほぼ同じです。

例：
ancient artifacts
古代の遺物

cultural artifacts
文化的人工物、文化遺物

The museum displays artifacts from ancient Egypt.
その博物館は古代エジプトの遺物を展示している。

IT・データ分析での意味：
artifact は「本来の対象ではなく、処理や測定の過程で生じた不要なもの」という意味でも使います。
例：
image artifacts
画像のノイズ、圧縮による乱れ

data artifacts
データ処理上のノイズ、不自然な結果

語源：
artifact はラテン語 arte factum（アルテ・ファクトゥム）「技術によって作られたもの」から来ています。

arte は ars（アルス）「技術、芸術」の変化形。
factum は facere（ファケレ）「作る、行う」の過去分詞です。

つまり、
arte「技術によって」
＋ factum「作られたもの」
＝ artifact「人の技術で作られたもの」

同じ語源の英語：
art：芸術、技術
artist：芸術家
artificial：人工の
artisan：職人
factory：工場
fact：事実
manufacture：製造する
benefactor：恩人
effect：効果
defect：欠陥
"
105,"#105  
affiliation　★
affiliated
affiliate ★
affiliating
","affiliation：所属、提携、加盟、関係。例：university affiliation＝大学への所属、political affiliation＝政治的所属、business affiliation＝業務提携。

affiliated：提携している、加盟している、系列の、所属している。例：an affiliated company＝関連会社、系列会社。be affiliated with ～＝～と提携している、～に所属している。

affiliate：★支社★
動詞なら「提携させる、加盟させる、関係づける」。名詞なら「関連会社、加盟団体、提携先、アフィリエイト会員」。例：The company is affiliated with a larger group.＝その会社は大きなグループに属している。

affiliating：affiliate の現在分詞・動名詞。「提携していること、加盟させていること、提携すること」。ただし日常では affiliation や affiliated の方がよく使われます。

語源：affiliate はラテン語 affiliare（アッフィリアーレ）＝養子にする、子として迎える、に由来します。ad-（アド）＝～へ、filius（フィリウス）＝息子。つまり元は「子として結びつける」から「所属させる、提携させる」の意味になりました。同語源：filial＝子の、filiate＝親子関係を定める、filiation＝親子関係・由来。
"
106,"#106  
The revenue office will thoroughly inquire 〇〇 the company's financial dealings of the previous year.

A. of
B. for
C. into
D. from
","意味：
税務署は、その会社の前年の財務取引について徹底的に調査するだろう。

理由：
inquire into ～ で「～を調査する、詳しく調べる」という意味です。

inquire about ～
～について問い合わせる

inquire into ～
～を調査する

この文では、会社の financial dealings「財務取引」を税務署が詳しく調べるという意味なので、inquire into が最適です。

A. inquire of 人
人に尋ねる、という形で使うことがあります。

B. inquire for ～
～を求めて問い合わせる、という意味になることがあります。

C. inquire into ～
～を調査する。これが正解。

D. inquire from は普通この文では使いません。
"
107,"#107  
TOEICでintoを後ろに取る動詞
","TOEICで「動詞 + into」がよく出る形は、主に「変化」「入る」「調査」「分割」「説得」の5系統です。

turn into
?に変わる
The old factory was turned into a museum.
その古い工場は博物館に変えられた。

change into
?に変わる、着替える
The room was changed into a conference area.
その部屋は会議スペースに変えられた。

convert into
?に変換する
The warehouse was converted into offices.
倉庫はオフィスに改装された。

transform into
?に変える、?に変わる
The project transformed into a major success.
そのプロジェクトは大成功に変わった。

develop into
?に発展する
The small event developed into an annual festival.
その小さなイベントは年中行事へ発展した。

grow into
?に成長する
The company grew into a global brand.
その会社は世界的ブランドに成長した。

look into
?を調査する
We will look into the matter.
その件を調査します。

go into
?に入る、詳しく述べる
The report goes into detail about the problem.
その報告書はその問題を詳しく説明している。

get into
?に入る、?の状態になる
Please get into the vehicle.
車に乗ってください。

enter into
契約・合意などに入る、締結する
The two companies entered into an agreement.
その2社は契約を結んだ。

divide into
?に分ける
The participants were divided into three groups.
参加者は3つのグループに分けられた。

separate into
?に分ける
The materials were separated into categories.
資料はカテゴリごとに分けられた。

break into
侵入する、急に始める
Someone broke into the office.
誰かが事務所に侵入した。

run into
偶然会う、問題に遭遇する
We ran into several problems.
いくつかの問題に直面した。

talk 人 into doing
人を説得して?させる
She talked him into joining the project.
彼女は彼を説得してプロジェクトに参加させた。

persuade 人 into doing
人を説得して?させる
The manager persuaded the staff into working overtime.
部長はスタッフを説得して残業させた。

TOEICで特に重要なのは、look into「調査する」、enter into an agreement「契約を結ぶ」、divide into「分ける」、turn/convert/change into「?に変える」、run into problems「問題に遭遇する」です。
"
108,"#108  
Meganal Place announced the release of a limited edition shopper’s card enabling customers to redeem up to two coupons per visit.

A. enable
B. enabled
C. enables
D. enabling
","正解は D. enabling です。

A. enable：動詞の原形。ここでは不可。
B. enabled：過去分詞。「可能にされた」という受け身的な意味になり、この文では不自然。
C. enables：三単現の動詞。文に述語動詞 announced がすでにあるので不可。
D. enabling：現在分詞。前の card を説明して「～できるようにするカード」となるので正解。

いいえ、この文では C. enables は選べません。理由は、which enables の which だけを省略することはできないからです。

関係代名詞を省略できるのは、基本的に「関係代名詞が目的語」のときです。
例：
the card which I used
→ the card I used
この which は used の目的語なので省略できます。

しかし今回の which は、関係詞節の中で主語です。
which enables customers...
この which が enables の主語です。
主語の which は省略できません。

だから、
a shopper’s card enables customers...
なら、「ショッパーズカードは顧客に～を可能にする」という別の文になります。
しかし元の文は、
Meganal Place announced the release of ...
という述語動詞 announced がすでにありま
"
109,"#109  
We hope to archieve a sustainable society to providing 〇〇 alternative to petroleum-fueled vehicles. 

A. viable
B. viability
C. viably
D. vibrancy
","正解は a. viable です。
意味：実行可能な、現実的な、実用に耐える、存続可能な。

TOEICでは viable alternative「実用可能な代替手段」、viable option「現実的な選択肢」、viable solution「実行可能な解決策」の形でよく出ます。

b. viability：名詞。「実行可能性」。viability alternative とは言えない。

c. viably：副詞。「実行可能な形で」。名詞 alternative を直接修飾できない。

d. vibrancy：名詞。「活気、鮮やかさ」。意味が合わない。

"
110,"#110  
The leaders of each team requires 〇〇 evaluation sheet by their members at the end of every month

A. Submit
B. Submitting
C. To submit
D. Submitted
","正解は D. Submitted です。

to submit ではない理由は、後ろの by their members と合わないからです。

文：
The leaders of each team require 〇〇 evaluation sheets by their members at the end of every month.

D. submitted を入れると、
submitted evaluation sheets by their members
＝メンバーによって提出された評価シート
となり、by their members が「誰によって提出されたか」を表します。

一方、C. to submit を入れると、
to submit evaluation sheets by their members
となりますが、これは「メンバーによって評価シートを提出するために」のようになり、不自然です。to submit は「提出するための／提出すること」という能動的な意味なので、evaluation sheets が「提出される側」であることを表せません。

比較：
evaluation sheets submitted by their members
メンバーによって提出された評価シート

evaluation sheets to submit by their members
これは普通言いません。

もし to submit を使うなら、文はこう変える必要があります。
The leaders require their members to submit evaluation sheets at the end of every month.
各チームのリーダーは、毎月末にメンバーに評価シートを提出するよう求める。

つまり、
require 人 to submit ～
＝人に～を提出するよう求める

submitted evaluation sheets
＝提出された評価シート

今回の空所は evaluation sheets を修飾する位置なので、to submit ではなく submitted が最適です。
"
111,"#111  
adjacent
","adjacent

意味：隣接した、すぐ近くの、隣の。

よく使う形：
adjacent to ～
＝～に隣接している

例：
The parking lot is adjacent to the building.
駐車場はその建物に隣接しています。

The hotel is adjacent to the station.
そのホテルは駅のすぐ隣にあります。

語源：
adjacent はラテン語 adjacere（アドヤケーレ）＝そばに横たわる、近くにある、から来ています。
ad-（アド）＝～の方へ、近くへ
jacere（ヤケーレ）＝横たわる

同じ語源の英語：
object：物、反対する
subject：主題、対象、服従させる
project：計画、投影する
reject：拒否する
inject：注入する
eject：排出する
interject：口を挟む
trajectory：軌道
"
112,"#112  
be inclusive of ～
","be inclusive of ～

意味：～を含んでいる、～込みである、～を包含している。

例：
The price is inclusive of tax.
その価格は税込みです。

The tour package is inclusive of meals and transportation.
そのツアーパッケージには食事と交通費が含まれています。

注意：
inclusive of tax
＝税込み

exclusive of tax
＝税抜き

include は動詞で「含む」。
inclusive は形容詞で「含んでいる、包括的な」。
be inclusive of ～ は少し硬い表現で、料金・契約・サービス内容などでよく使います。

語源：
inclusive はラテン語 includere（インクルーデレ）＝閉じ込める、中に入れる、から来ています。
in-（イン）＝中へ
cludere（クルーデレ）＝閉じる

同じ語源の英語：
include：含む
inclusion：包含、含めること
inclusive：包括的な、込みの
exclude：除外する
exclusive：排他的な、除外した
conclude：結論づける
preclude：妨げる
closure：閉鎖、終結
"
113,"#113  
dilute
","dilute

意味：薄める、希釈する。形容詞では「薄められた、希釈された」という意味です。

例：
Dilute the solution with water.
その溶液を水で薄めなさい。

a dilute acid
希酸、薄められた酸

TOEIC的には、化学・清掃・飲料・薬品などで「水などを加えて濃度を下げる」という意味で出ます。

語源：
dilute はラテン語 diluere（ディルエレ）＝洗い流す、薄める、溶かす、から来ています。
di- / dis-（ディ／ディス）＝離れて、ばらばらに
luere（ルエレ）＝洗う

同じ語源・関連語：
dilution：希釈、薄めること
diluted：薄められた
deluge：大洪水、大量に押し寄せるもの
antediluvian：大洪水以前の、非常に古い
"
114,"#114  
article
","はい、article には「記事」だけでなく、「品物、物品、製品」という意味もあります。

article の主な意味：
article：記事、条項、品物、物品

例：
a newspaper article
新聞記事

Article 5 of the contract
契約の第5条

household articles
家庭用品

personal articles
身の回り品、所持品
"
115,"#115  
take a part in 
","take a part in は普通は誤りです。正しくは take part in です。

take part in ～
意味：～に参加する

例：
Many students took part in the event.
多くの学生がそのイベントに参加した。

She will take part in the meeting.
彼女はその会議に参加します。

注意：
part に a は付けません。
誤：take a part in the event
正：take part in the event

ただし、別の意味で take a part はあります。
take a part in a play
劇で役を得る、役を演じる

この場合の part は「役」です。
でも「イベントに参加する」は take part in です。
"
116,"#116  
The sales of Natural and Study Corporation have been growing 〇〇 exponentially in recent years due to the growth of the logistics marketplace.

正解は a. exponentially です。

A. exponentially
B. heavily
","exponentially は「指数関数的に、急激に、非常に大きな勢いで」という意味です。売上・需要・市場・利用者数などが「急成長する」ときによく使います。

heavily は「重く、大量に、かなり」という意味ですが、普通は grow heavily とはあまり言いません。heavily は rain heavily「激しく雨が降る」、invest heavily「多額を投資する」、rely heavily on「大きく依存する」などで使います。
"
117,"#117  
incur
","incur

意味：負う、被る、招く。特に「費用・損失・負債・罰則などを負う」という意味です。

よく使う形：
incur costs：費用が発生する
incur expenses：経費が発生する
incur losses：損失を被る
incur a penalty：罰則を受ける
incur debt：借金を負う

例：
The company incurred significant losses last year.
その会社は昨年、大きな損失を被った。

Additional charges may be incurred.
追加料金が発生する場合があります。

語源：
incur はラテン語 incurrere（インクッレレ）＝中へ走り込む、ぶつかる、招く、から来ています。
in-（イン）＝中へ、～に向かって
currere（クッレレ）＝走る

同じ語源の英語：
current：流れ、現在の
currency：通貨
course：進路、講座
occur：起こる
recur：再発する
concur：同意する、同時に起こる
excursion：遠足、短い旅行
cursor：カーソル
cursive：筆記体の
"
118,"#118  
 〇〇 Johnny Liu appreciated her former workplace's offer, she declined the opportunity because she was already running her own business.

A. while
B. when
C. for
D. in spite of
","正解は a. while です。

理由：
while には「～する一方で」「～だけれども」という譲歩・対比の意味があります。

B. when
「～したとき」。時間の意味になり、対比が弱い。

C. for
「というのは～だから」。接続詞として使えますが、文頭の For Johnny Liu appreciated..., she declined... は不自然です。

D. in spite of
「～にもかかわらず」ですが、後ろには名詞・動名詞が来ます。
in spite of Johnny Liu appreciated ... とは言えません。
"
119,"#119  
意味：短縮された、要約された、省略版の。
","abridged

意味：短縮された、要約された、省略版の。

例：
an abridged version
短縮版、要約版

an abridged dictionary
簡約版の辞書

This is an abridged edition of the novel.
これはその小説の短縮版です。

反対語：
unabridged
省略されていない、完全版の

語源：
abridge は古フランス語 abregier（アブレジエ）＝短くする、から来ています。さらにラテン語 abbreviare（アッブレヴィアーレ）＝短くする、が語源です。
ad-（アド）＝～へ
brevis（ブレウィス）＝短い

同じ語源の英語：
brief：短い、簡潔な
brevity：簡潔さ
abbreviate：省略する、短縮する
abbreviation：略語、省略
abridge：短縮する
abridged：短縮された
"
120,"#120  
so の前のカンマ
","Our customer service line responds 24 hours a day, so you can be at ease...

のように so の前にコンマを置くのが標準的です。

ただし、文が短い場合や、TOEICのような実用英文では、コンマなしでも許容されることがあります。つまり、

コンマあり：より正式・読みやすい
コンマなし：不可ではない、TOEICでは出ることがある

という理解でよいです。

重要なのは、ここでの so は「so that」の省略に近い感じで、「～できるように／だから～できる」という目的・結果を表していることです。この場合、コンマなしで書かれることもあります。

結論：
厳密にはコンマありが望ましい。
ただし、参考書のコンマなしも、TOEIC英文としては間違いとは断定できません。
"
121,"#121  
意味：近所、周辺、近辺、付近。
","vicinity

意味：近所、周辺、近辺、付近。

よく使う形：
in the vicinity of ～
＝～の近くに、～の周辺に

例：
There are several restaurants in the vicinity of the station.
駅の周辺にレストランがいくつかあります。

The hotel is located in the vicinity of the convention center.
そのホテルはコンベンションセンターの近くにあります。

near との違い：
near は普通の「近くに」。
vicinity は少し硬く、「周辺地域・近辺」という名詞です。

語源：
vicinity はラテン語 vicinus（ウィキーヌス）＝近くの、隣の、から来ています。さらに vicus（ウィクス）＝村、集落、地区、に関係します。

同じ語源の英語：
vicinal：近隣の、隣接した
vicinity：近辺、周辺
village：村 ※同系統とされることがあります。
"
122,"#122  
The manager showed his appreciation for the company’s employees by delivering his  〇〇  address at Jolito Electronics’ anniversary ceremony.

A. feasible
B. upcoming
C. private
D. inaugural
","正解は D. inaugural です。

意味：
「その部長は、Jolito Electronicsの記念式典で就任演説を行うことによって、会社の従業員への感謝を示した。」

inaugural address = 就任演説、初回の公式演説

ある。address には「住所」だけでなく、「演説、あいさつの言葉」という意味がある。

例：
inaugural address = 就任演説
opening address = 開会のあいさつ
presidential address = 大統領演説
deliver an address = 演説をする

もとの意味は「相手に向ける、話しかける」ということ。そこから、
address a letter = 手紙を宛てる
address a person = 人に話しかける
address an audience = 聴衆に演説する
address a problem = 問題に対処する
という意味に広がった。

語源：
address は、古フランス語 adresser（アドレセ）「まっすぐに向ける、整える」から来ている。さらにラテン語 ad-（アド、「～へ」）＋ directus（ディレクトゥス、「まっすぐな」）に関係する。

同じ語源の英語：
direct = 指示する、まっすぐな
direction = 方向、指示
director = 監督、取締役
correct = 正す
erect = 直立した、建てる
rectify = 正す

つまり address は「相手に向ける」という中心イメージなので、「住所」も「演説」も同じ語から来ている。
"
123,"#123  
離職率、入れ替わり率、回転率
","turnover rate（ターンオーバー・レート）は、文脈で意味が変わるが、TOEICやビジネスでは主に「離職率」という意味で出ることが多い。

turnover rate = 離職率、入れ替わり率、回転率
"
124,"#124  
全会一致の投票、満場一致の採決
","意味：
unanimous vote = 全会一致の投票、満場一致の採決

例：
The proposal was approved by a unanimous vote.
その提案は全会一致で承認された。

unanimous（ユナニマス）= 全員一致の、満場一致の
vote（ボート）= 投票、票決

語源：
unanimous は、ラテン語 unus（ウーヌス、「一つの」）＋ animus（アニムス、「心、精神」）から来ています。つまり「一つの心になっている」→「全員一致の」という意味です。

同じ語源の英語：
unus 系：
unit = 単位
union = 結合、組合
unique = 唯一の
unify = 統一する

animus 系：
animal = 動物
animate = 生き生きさせる、アニメ化する
animation = アニメーション、活気
animism = アニミズム

vote の語源：
vote はラテン語 votum（ウォートゥム、「誓い、願い、投票」）から。もとは「神への誓願・願い」という意味で、そこから「意思表示」→「投票」になりました。

同じ語源の英語：
vow = 誓い
votive = 奉納の、誓願の
devote = 捧げる、専念する
devotion = 献身、信仰心
"
125,"#125  
To view the list of companies  〇〇  into Electricity Vista Cooperative, click on the link below.

A. consolidated
B. consolidation
C. consolidator
D. consolidates
","正解は A. consolidated です。

B. consolidation は名詞「統合」なので不可。
C. consolidator は名詞「統合する人・会社」なので不可。
D. consolidates は動詞の三単現なので、この位置には不可。

D. consolidates がダメな理由は、companies が複数形だからだけではありません。もっと大事なのは、この位置では「動詞の現在形」ではなく、「companies を後ろから説明する形」が必要だからです。

文の骨組みはこうです。

To view the list of companies 〇〇 into Electricity Vista Cooperative, click on the link below.

主文は、
click on the link below
です。

その前の To view the list of companies 〇〇 into... は「～を見るためには」という不定詞句です。この中で中心になる名詞は companies です。

ここで言いたいのは、
「Electricity Vista Cooperative に統合された会社」
です。

つまり companies は「統合する側」ではなく、「統合された側」です。だから受け身の意味が必要です。

companies consolidated into Electricity Vista Cooperative
= Electricity Vista Cooperative に統合された会社

consolidated は過去分詞で、「統合された」という意味になります。
"
126,"#126  
commensurate
","たぶん commensurate（コメンシュレイト / コメンサレイト） のことだと思います。TOEICではよく出ます。

commensurate = 釣り合った、相応の、比例した

よく出る形：
be commensurate with ～ = ～に見合っている、～に比例している

例：
Salary will be commensurate with experience.
給与は経験に応じて決定されます。

The punishment should be commensurate with the seriousness of the offense.
罰は違反の重大さに見合うべきだ。

語源：
commensurate は、ラテン語 com-（コム、「一緒に」）＋ mensura（メンスーラ、「測定、尺度」）から来ています。つまり「同じ尺度で測れる」→「釣り合っている、相応の」という意味です。

同じ語源の英語：
measure = 測る、尺度
measurement = 測定
dimension = 寸法、次元
immense = 巨大な、計り知れない
mensuration = 測定、測量
commensurable = 同じ尺度で測れる

"
127,"#127  
outreach
","outreach（アウトリーチ）

意味：

支援活動、働きかけ、地域・顧客への接触活動
手を差し伸べること
教育・医療・福祉・営業などで、相手のいる場所へこちらから出向いて働きかけること

TOEIC・ビジネスでは、
community outreach = 地域向け支援活動
customer outreach = 顧客への働きかけ
outreach program = 支援活動、啓発活動
outreach campaign = 外部向けキャンペーン
の形でよく出ます。

例文：
The company launched a community outreach program.
その会社は地域支援活動を開始した。

Our sales team is responsible for customer outreach.
営業チームは顧客への働きかけを担当している。

語源：
outreach は out（アウト、「外へ」）＋ reach（リーチ、「手を伸ばす、届く」）からできた語です。中心イメージは「外へ手を伸ばす」→「外部の人々に働きかける」です。

同じ語源の英語：
out 系：
outside = 外側
outcome = 結果
outbreak = 発生
outbound = 外へ向かう
outlook = 見通し

reach 系：
reach = 届く、手を伸ばす
reachable = 到達可能な
unreachable = 到達不能な
overreach = やり過ぎる、背伸びしすぎる
outreach = 外へ働きかける、支援活動
"
128,"#128  
intact（インタクト）
","intact（インタクト）

意味：
無傷の、損なわれていない、完全なままの、そのまま残っている

例：
The package arrived intact.
荷物は無傷で届いた。

The building remained intact after the earthquake.
その建物は地震の後も無傷のままだった。

TOEICでは、
remain intact = そのまま残る、損なわれずに残る
keep ～ intact = ～をそのまま保つ
の形で出やすいです。

語源：
intact はラテン語 intactus（インタクトゥス）から来ています。
in-（イン、「否定、～でない」）＋ tactus（タクトゥス、「触れられた」）
つまり「触れられていない」→「傷ついていない」→「無傷の、完全なままの」という意味です。

同じ語源の英語：
contact = 接触
tactile = 触覚の
tangent = 接線、接するもの
contagion = 接触感染
tact = 機転、気配り
tactics = 戦術
"
129,"#129  
in observance of

","in observance of（イン・オブザーバンス・オブ）

意味：
～を遵守して、～に従って、～を記念して、～を祝って

TOEICでは「祝日・記念日・規則」に関係して出やすいです。

例：
The office will be closed in observance of National Foundation Day.
建国記念の日を祝って、その事務所は休業します。

The store will close early in observance of the holiday.
その祝日のため、店は早く閉まります。

Employees must act in observance of company policy.
従業員は会社方針を遵守して行動しなければならない。

ポイント：
in observance of a holiday = 祝日を記念して、祝日のため
in observance of rules/regulations = 規則を遵守して

語源：
observance は observe から来ています。
observe はラテン語 observare（オブセルワーレ）「注意して見る、守る」から。
ob-（オブ、「～の方へ、～に対して」）＋ servare（セルワーレ、「守る、保つ」）です。
つまり「注意して守る」→「観察する」「遵守する」「記念して行う」という意味に広がりました。

同じ語源の英語：
observe = 観察する、遵守する
observer = 観察者
observation = 観察、所見
observatory = 天文台、観測所
conserve = 保存する
preserve = 保存する、保護する
reserve = 予約する、取っておく
conservation = 保護、保存
"
130,"#130  
retreat
","退く、後退する、撤退する
避難する、引きこもる
★静養、★研修合宿、隠れ家

TOEIC・ビジネスでは、company retreat / corporate retreat の形で「社員研修旅行、社内合宿、研修会」という意味で出ることがあります。

例：
The army was forced to retreat.
軍隊は撤退を余儀なくされた。

The company held a weekend retreat for its managers.
その会社は管理職向けに週末の研修合宿を開いた。

She went on a yoga retreat.
彼女はヨガの静養合宿に参加した。

語源：
retreat は、古フランス語 retraiter（ルトレテ）「引き下がる」から来ています。さらにラテン語 re-（レ、「後ろへ、再び」）＋ tractare（トラクターレ、「引く、扱う」）に関係します。中心イメージは「後ろへ引く」→「撤退する、身を引く」です。

同じ語源の英語：
treat = 扱う、ごちそうする
treatment = 扱い、治療
contract = 契約する、縮む
extract = 抜き出す
attract = 引きつける
subtract = 引き算する
traction = 牽引、引く力
tractor = トラクター、牽引車

まとめると、retreat は「後ろへ引く」が基本で、そこから「撤退する」「日常から離れて静養・研修する場所や活動」という意味になりました。
"
