ID,問題,答え
236,"DJ-SC-R4A

ブロックチェーンに関する記述のうち,適切なものはどれか。

ア　RADIUSを必須の技術として,参加者の利用者認証を一元管理するために利用する。

イ　SPFを必須の技術として、参加者間で電子メールを送受信するときに送信元の真正性 を確認するために利用する。

ウ　楕円曲線暗号を必須の技術として, 参加者間のP2P (Peer to Peer) 通信を暗号化する ために利用する。

エ　ハッシュ関数を必須の技術として、参加者がデータの改ざんを検出するために利用する。
","【正解】　エ
“あなたの解答: ウ”　← 間違えた
"
237,"DJ-SC-R4A

どこか間違いか。

ア　“SAML方式では,インターネット上の複数のWebサイトにおけるSSOを, IdP(Identity Provider)で自動生成されたURL形式の1人一つの利用者IDで実現する。”


","【正解】　URL形式ではなく、XMLベース、SOAPなど
"
238,"DJ-SC-R4A

名前は何か。

“メールクライアントからメールサーバへの電子メール送信は, POP接続で利用者認証済みの場 合にだけ許可する。
""
","POP before SMTPの説明です。　← before が思い出せなくて after だってよ
"
239,"DJ-SC-R4A

以下の2つの違いは何か。

イ　“cookieに, Secure属性を設定する。

ウ　“HTTPレスポンスヘッダーに, Strict-Transport-Securityを設定する。
","Cookieがキーワード

イ　Cookieを HTTPS通信時にのみブラウザが送信するようにする

ウ　ブラウザに「このサイトへのアクセスは 常にHTTPSで行う」と指示する
"
240,"DJ-SC-R4A

IT製品及びシステムが,必要なセキュリティレベルを満たしているかどうかについて,調達 者が判断する際に役立つ評価結果を提供し、 独立したセキュリティ評価結果間の比較を可能 にするための規格はどれか。

ア　ISO/IEC 15408

イ　ISO/IEC 27002

ウ　ISO/IEC 27017

エ　ISO/IEC 30147
","ア　“ISO/IEC 15408""
正しい。ISO/IEC 15408は、IT関連製品や情報システムのセキュリティ機能の適切性・ 確実性について客観的に評価するための基準です。日本ではJIS X 5070として定められ ています。IPAが認証機関として運営しているITセキュリティ評価及び認証制度(JISE C)は、このISO/IEC 15408に基づいて評価・認証が行われ、政府調達などで利用されて います。

イ　“ISO/IEC 27002""
ISO/IEC 27002は、情報セキュリティマネジメントシステム(ISMS)に関する規格群ISO/IEC 27000シリーズの一つです。ISMSの確立・実施・維持・継続的な改善を行うための要求事項をまとめたのが ISO/IEC 27001であり、このISO/IEC 27001に基づいて実施されるISMSの過程で選定・実践すべき情報セキュリティ管理策の規範が ISO/IEC 27002です。 ISO/IEC 15408 がセキュリティ機能の技術的側面を対象としているのに対し、ISO/IEC 27002 はセキュリティ運用管理面を対象としています。

ウ　“ISO/IEC 27017""
ISO/IEC 27017は、 ISO/IEC 27002 をベースとしたクラウド環境における情報セキュ リティ管理策を実践するための規範です。

エ　“ISO/IEC 30147""
ISO/IEC 30147は、IoT製品やサービスの安全・安心を確保するための日本発の国際規格で、システムのライフサイクルプロセスについての規格である ISO/IEC/IEEE 15288 を適用・補完して策定されました。セキュリティ・信頼性・プライバシー保護・レジリ エンス(脅威予測・攻撃に対する適切な対応・迅速な回復等を行いリスクに適応する能力)などにおいて関係者の期待に応える能力(これをトラストワージネス : Trustworth inessという)を、IoT製品やサービスに実装し維持するためのライフサイクルプロセスの規格となっています。
"
241,"DJ-SC-R4A

PKI(公開鍵基盤)を構成するRA(Registration Authority)の役割はどれか。

ア　デジタル証明書にデジタル署名を付与する。

イ　デジタル証明書に紐づけられた属性証明書を発行する。

ウ　デジタル証明書の失効リストを管理し,デジタル証明書の有効性を確認する。

エ　本人確認を行い, デジタル証明書の発行申請の承認又は却下を行う。
","【正解】　エ　
あなたの解答:ア　← また間違えた

ア　発行局(IA)

イ　属性認証局(AA:Attribute Authority)

ウ　検証局(VA:Validation Authority)

エ　正しい。登録局(RA)の役割は、認証局の業務のうち、 デジタル証明書の発行申請書に記載された申請者の本人確認を行い、審査結果に基づき申請の承認または却下を行うことです。承認された申請情報を登録する役割も担います。
"
242,"DJ-SC-R4A

セキュリティ対策として, CASB(Cloud Access Security Broker)を利用した際の効果はどれか。

ア　クラウドサービスプロバイダが,運用しているクラウドサービスに対して, CASBを利用してDDoS攻撃対策を行うことによって,クラウドサービスの可用性低下を緩和できる。

イ　クラウドサービスプロバイダが,クラウドサービスを運用している施設に対して,CASBを利用して入退室管理を行うことによって,クラウドサービス運用環境への物理的な不正アクセスを防止できる。

ウ　クラウドサービス利用組織の管理者が,従業員が利用しているクラウドサービスに対 して,CASBを利用して脆弱性診断を行うことによって,脆弱性を特定できる。

エ　クラウドサービス利用組織の管理者が,従業員が利用しているクラウドサービスに対して,CASBを利用して利用状況の可視化を行うことによって,許可を得ずにクラウドサービスを利用している者を特定できる。

","【正解】　エ
“あなたの解答:工”

CASB(Cloud Access Security Broker:キャスビー)は、利用者とクラウドサービスプロバ イダとの間に単一のコントロールポイントを設けて、クラウドサービス利用の「可視化」 「コンプライアンス」「データセキュリティ」「脅威防御」を提供する仕組みです。

近年は 働き方改革やテレワークの促進でクラウドサービスを活用する流れが加速していますが、そ れに伴いシャドーITがセキュリティ上の問題 となっています。 CASBを導入することで、組織の管理者は、組織の許可を得ずに業務にク ラウドサービスを利用している者を発見し、管理することが可能となります。

利用者の端末にインストールし、それを介してクラウドサービスを利用させるタイプや、インターネットアクセスの際には必ず経由してアクセスさせるプロキシ型、クラウドサービスプロバイダ側に設置することで管理対象外の端末の使用をも検知できるリバースプロキシ型 などの種類があります。
したがって「エ」が適切です。
"
243,"DJ-SC-R4A

パスワードスプレー攻撃に該当するものはどれか。

ア　攻撃対象とする利用者IDを一つ定め, 辞書及び人名リストに掲載されている単語及び人名並びにそれらの組合せを順にパスワードとして入力して, ログインを試行す る。

イ　攻撃対象とする利用者IDを一つ定め,パスワードを総当たりして, ログインを試行する。

ウ　攻撃の時刻と攻撃元IPアドレスとを変え,かつ, アカウントロックを回避しながらよ く用いられるパスワードを複数の利用者IDに同時に試し, ログインを試行する。

エ　不正に取得したある他のサイトの利用者IDとパスワードとの組みの一覧表を用い て, ログインを試行する。
","【正解】　ウ
"
244,"DJ-SC-R4A

フローチャートの経路網羅の方法２つは何か。
","テスト技法で言う 経路網羅（パス網羅） や 条件網羅（判定条件網羅） に対応します。
"
245,"DJ-SC-R4S

標的型攻撃における攻撃者の行動をモデル化したものの一つにサイバーキルチェーンがあり,攻撃者の行動を7段階に分類している。標的とした会社に対する攻撃者の行動のうち, 偵察の段階に分類されるものはどれか。

ア　攻撃者が,インターネットに公開されていない社内ポータルサイトから,会社の組織 図,従業員情報,メールアドレスなどを入手する。

イ　攻撃者が,会社の役員が登録しているSNSサイトから、攻撃対象の人間関係,趣味 などを推定する。

ウ　攻撃者が,取引先になりすまして,標的とした会社にマルウェアを添付した攻撃メー ルを送付する。

エ　攻撃者が,ボットに感染したPCを違隔操作して社内ネットワーク上のPCを次々にマ ルウェア感染させて,利用者IDとパスワードを入手する。
","【正解】　イ　です。

サイバーキルチェーンの7段階（代表的な並び）：
偵察（Reconnaissance） → 武器化（Weaponization） → 配布／送付（Delivery） → 攻撃（Exploitation） → インストール（Installation） → コマンド＆コントロール（C2） → 目的達成（Actions on Objectives）

ア：社内ポータル（インターネット未公開）から情報を入手する
→ 公開情報収集（OSINT）なら偵察だが、「インターネットに公開されていない社内ポータル」から取得している点で既に不正アクセスや内部侵害が行われている可能性が高く、偵察よりも侵入後の情報窃取／内部活動に近い。

イ：役員のSNSから人間関係や趣味を推定する
→ 典型的な 偵察（Reconnaissance）／OSINT。標的型攻撃でのターゲット選定やスピアフィッシングの材料収集に該当。 正解。

ウ：取引先になりすましてマルウェア添付メールを送る
→ これは 配布（Delivery）／攻撃（Exploitation） に相当（スピアフィッシングによる侵入試行）。

エ：ボットを使って社内PCを次々感染させID・パスワードを入手する
→ 侵入後の横展開（lateral movement）や情報収集・目的達成に該当（後段のフェーズ）。
"
246,"DJ-SC-R4S

安全・安心なIT社会を実現するために創設された制度であり, IPA""中小企業の情報セキュリ ティ対策ガイドライン""に沿った情報セキュリティ対策に取り組むことを中小企業が自己宣言するものはどれか。

ア　ISMS適合性評価制度

イ　ITセキュリティ評価及び認証制度

ウ　MyJVN

エ　SECURITY ACTION

","【正解】　エ
“あなたの解答: イ”　← 唯々暗記

SECURITY ACTION(セキュリティアクション)は、IPAが推進する制度で、中小企業自らが情報セキュリティ対策に取組むことを自己宣言するものです(※認定・取得制度ではありま せん)。

取組み目標に応じて「一つ星」と「★★二つ星」のロゴマークがあり、 使用申込を行うこ とで、ロゴマークをポスター、パンフレット、名刺、封筒、会社案内、ウェブサイト等に表 示して、自らの取組みをアピールすることができます。

ア　“ISMS適合性評価制度”
ISMS適合性評価制度は、JIS Q 27001に基づき、組織が構築した情報セキュリティマ ネジメントシステムの適合性を評価する制度です。

イ　“ITセキュリティ評価及び認証制度”
ITセキュリティ評価及び認証制度(JISEC)は、IT関連製品のセキュリティ機能の適切性・ 確実性を、セキュリティ評価基準の国際標準であるISO/IEC 15408に基づいて第三者 (評価機関)が評価し、その評価結果を認証機関が認証する制度です。

ウ　“MyJVN""
MyJVNは、JVN iPediaの情報を、利用者が効率的に活用して頂けるように、脆弱性対策情報を効率的に収集したり、利用者のPC上にインストールされたソフトウェア製品のバージョンを容易にチェックする等の機能を提供する仕組み (フレームワーク)です (※MyJVNウェブサイトより引用)。

エ　“SECURITY ACTION""
正しい。SECURITY ACTIONは、中小企業自らが情報セキュリティ対策に取り組むこ とを自己宣言する制度です。
"
247,"DJ-SC-R4S

データウェアハウスのメタデータに関する記述のうち,データリネージはどれか。

ア　誰がどのデータを見てよいかを示す情報であり,適切なアクセス制御を目的として設 定される。

イ　データが誰によって作られ管理されているかを示す情報であり, データ構造やデータ辞書を見ても意味が分からないときの問合せ先を表す。

ウ　データがどこから発生し,どのような変換及び加工を経て,現在の形になったかを示 す情報であり, データの生成源の特定又は障害時の影響調査に利用できる。

エ　データ構造がどのように定義されているかを示す情報であり, Webサイトなどに公開して検索できるようにする。
","【正解】　ウ
“あなたの解答:工”

データリネージ（Data Lineage）とは、データがどこから発生し、どのような変換や加工を経て現在の形になったかを追跡する情報を指します。主に データの出所の特定や、障害・誤りの影響範囲の調査に利用されます。

ア	誰がどのデータを見られるか（アクセス権）	× → アクセス制御／セキュリティメタデータ

イ	データの作成者や管理者の情報	× → 管理メタデータ（データオーナー情報）

ウ	データの発生源と変換履歴	✅ → データリネージ

エ	データ構造の定義情報	× → データディクショナリ／スキーマ情報

💡 まとめ
データリネージ = データの生成源・加工・変換の履歴
利用例：障害調査、データの信頼性確認、監査対応。
"
248,"DJ-SC-R4S

総務省及び国立研究開発法人情報通信研究機構(NICT)が2019年2月から実施している取組""NOTICE""に関する記述のうち,適切なものはどれか。
それ以外の取り組みの名前も答えよ。

ア　NICTが運用するダークネット観測網において, Miraiなどのマルウェアに感染したlo T機器から到達するパケットを分析した結果を当該機器の製造者に提供し、国内での 必要な対策を促す。

イ　国内のグローバルIPアドレスを有するIoT機器に,容易に推測されるパスワードを入 力することなどによって,サイバー攻撃に悪用されるおそれのある機器を調査し,イ　ンターネットサービスプロバイダを通じて当該機器の利用者に注意喚起を行う。

ウ　国内の利用者からの申告に基づき、利用者の所有するIoT機器に対して無料でリモー トから,侵入テストやOSの既知の脆弱性の有無の調査を実施し,結果を通知すると ともに,利用者が自ら必要な対処ができるよう支援する。


エ　製品のリリース前に,不要にもかかわらず開放されているポートの存在,パスワード の設定漏れなど約200項目の脆弱性の有無を調査できるテストベッドを国内のIoT機 器製造者向けに公開し,市場に流通するIoT機器のセキュリティ向上を目指す。


","【正解】　イ

ア　DAEDALUS(ダイダロス)の取組です。

イ　正しい。 NOTICEの取組です。

ウ　セキュリティベンダーが提供するリモート診断ツールの説明です。

エ　NICTが提供する総合テストベッドの説明です。

"
249,"DJ-SC-R4S

金融庁""財務報告に係る内部統制の評価及び監査に関する実施基準(令和元年)""におけるアクセス管理に関して,内部統制のうちのITに係る業務処理統制に該当するものはどれか。

ア　組織としてアクセス管理規程を定め、統一的なアクセス管理を行う。

イ　組織としてアクセス権限の設定方針を定め、周知徹底を図る。

ウ　組織内のアプリケーションシステムに,業務内容に応じた権限を付与した利用者ID とパスワードによって認証する機能を設ける。

エ　組織内の全ての利用者に対して,アクセス管理の重要性についての教育を行う。
","【正解】　ウ　
“あなたの解答:ウ”

「全般統制」と「業務処理統制」の2つから構成 されています。　← ポイントはこれ。

"
250,"DJ-SC-R4S

SAML(Security Assertion Markup Language) の説明として、 最も適切なものはどれか。

ア　“Webサービスに関する情報を公開し, Webサービスが提供する機能などを検索可能にするため の仕様”

イ　“権限がない利用者による読取り、改ざんから電子メールを保護して送信するための仕様”

ウ　“デジタル署名に使われる鍵情報を効率よく管理するためのWebサービスの仕様”

エ　“認証情報に加え,属性情報と認可情報を異なるドメインに伝達するためのWebサービスの仕様” 
","【正解】　エ

ア　WSDL(Web Services Description Language)の説明です。
ChatGpt: UDDI（Universal Description, Discovery, and Integration） の説明に相当

イ　S/MIME(Secure MIME)やPGP (Pretty Good Privacy)。

ウ　TLS(Transport Layer Security) の説明です。
ChatGpt: XKMS（XML Key Management Specification）

エ　正しい。SAMLの説明です。
"
251,"DJ-SC-R4S

インターネットに接続されたPCの時刻合わせに使用されるプロトコルはどれか。

ア　NNTP

イ　RTCP

ウ　SNTP

エ　TFTP
","【正解】　ウ
“あなたの解答: ア”

ア“NNTP""
Network News Transfer Protocolの略。 インターネット上でニュースを閲覧、編集、 配信等をすることができるプロトコルです。ここでいうインターネット上のニュースと は、現在でいえば電子掲示板のようなものを指しており、NetNewsと呼ばれる配信シス テム上でNNTPによるアクセスが行われます。NNTPは、インターネットが普及する前の1990年代前半に頻繁に使用されていました が、現在ではほとんど使用されていません。

“RTCP”
RTP Control Protocolの略。IP電話で音声をやり取りするのに用いられるRTP(Real-ti me Transfer Protocol)とセットで使用されます。

“SNTP""
正しい。SNTP (Simple Network Time Protocol)は、時刻合わせのプロトコルNTPか ら、現在時刻を問い合わせる部分を抜き出して簡略化したサブセット的なプロトコルで す。使用するポート番号はNTPと同じく123/UDPです。

“TFTP”
Trivial File Transfer Protocolの略。 ファイルをネットワーク上で送受信するプロトコ ルです。FTP(File Transfer Protocol)に比べて、簡易的なプロトコルであり、暗号化機 能や認証機能を持たない分、動作が軽く伝送効率が高いのが特徴です。
"
252,"DJ-SC-R4S

量子暗号の特徴として,適切なものはどれか。

ア　暗号化と復号の処理を,量子コンピュータを用いて瞬時に行うことができるので,従 来のコンピュータでの処理に比べて大量のデータの秘匿を短時間で実現できる。

イ　共通鍵暗号方式であり,従来の情報の取扱量の最小単位であるビットの代わりに量子 ビットを用いることによって,瞬時のデータ送受信が実現できる。

ウ　量子雑音を用いて疑似乱数を発生させて共通鍵を生成し,公開鍵暗号方式で共有することによって, 解読が困難な秘匿通信が実現できる。

エ　量子通信路を用いて安全に共有した乱数列を使い捨ての暗号鍵として用いることによ って,原理的に第三者に解読されない秘匿通信が実現できる。
","【正解】　エ
“あなたの解答:ウ”

ア　量子暗号は、量子コンピュータ上で行われる計算処理を指しているわけではなく、共通鍵の安全な配送が主な役割です。暗号化と復号は古典コンピュータと同じ計算を行うの で、従来に比べて大量のデータを処理可能とするものではありません。

イ　量子暗号は共通鍵暗号方式のひとつではなく、量子鍵配送とワンタイムパッドの組合せ によって、盗聴の検出や解読に対する耐性を強化する技術です。データの送受信は量子 ビットでは行わず、従来どおり古典ビットで行います。 また、通信の高速化を目的としていません。

ウ　鍵の共有に公開鍵暗号方式は使用しません。量子鍵配送では、光の特性を利用して安全に鍵を共有します。なお、量子雑音を利用した共通鍵(平文よりも短い)の生成と量子鍵配送を組み合わる方式は、量子雑音ストリーム暗号と呼ばれます。

エ　量子暗号は、通信ごとに使い捨ての鍵を使用すること、その鍵を量子通信路で 安全に配送するという2つの要素を組み合わせた暗号化通信です。観察されると変化す る光子の性質により盗聴を検知できるため、 安全な鍵だけを受信することができます。 また、送信側と受信側で同じ基底盤を使用しないと正しい復号が行えないため、理論的 に第三者に解読されないことが保証されます
"
253,"DJ-SC-R3A

cookieにSecure属性を設定しなかったときと比較した,設定したときの動作として,適切なものはどれか。

ア　cookieに設定された有効期間を過ぎると, cookie が無効化される。

イ　JavaScriptによるcookieの読出しが禁止される。

ウ　URL内のスキームがhttpsのときだけ, Webブラウザからcookieが送出される。

エ　WebブラウザがアクセスするURL内のパスと cookieに設定されたパスのプレフィックスが一致するときだけ, WebブラウザからCookieが送出される。
","【正解】　ウ
“あなたの解答:イ”　← これを間違えるのはもったいない。慎重に。

ア　Expires属性の動作です。

イ　HttpOnly属性の動作です。

ウ　Secure属性の動作です。

エ　Path属性の動作です。
"
254,"DJ-SC-R3A

AIによる画像認識において,認識させる画像の中に人間には知覚できないノイズや微小な変 化を含めることによってAIアルゴリズムの特性を悪用し, 判定結果を誤らせる攻撃はどれ か。

ア　Adaptively Chosen Message

イ　Adversarial Examples攻撃

ウ　Distributed Reflection Denial of Service

エ　Model Inversion攻撃

","【正解】　イ　
“あなたの解答:ア”

イ　“Adversarial Examples攻撃”
正しい。 Adversarial Examples攻撃 敵対的サンプル攻撃)は、入力画像に人間の目では認識できない程度の微細なノイズを加えることによって、AIの誤判定等を引き起こす 攻撃です。

画像に少量のピクセルの乱れを入れたり、音声波形にほんの少し別の波形を合成したりするなど本物のデータにわずかなノイズを加えることで、AIシステムは、本物と同一分類であるのに別分類と判断する場合があります。逆にまったく別分類であるのに、 ノイズを加えたことでAIが同一分類と誤認する場合もあります。このような事態を引き起こす改変データは敵対的サンプルと呼ばれ、このデータを用いて意図的に不正な判断や誤作動をAIに起こさせる攻撃が敵対的サンプル攻撃です。
"
255,"DJ-SC-R3A

PEAP（Protected EAP）とは
","PEAP = Protected EAP
EAPの一種で、無線LAN上の認証情報（ユーザ名・パスワード）を安全にやり取りするためのトンネル方式です。

主な仕組み
TLSトンネルの確立
サーバ証明書を使って TLS（暗号化通信）トンネルを作る
この時点でクライアントとサーバ間の通信が暗号化される
トンネル内でEAP認証を実行
パスワードや証明書などの認証情報を安全に送信
代表的には EAP-MSCHAPv2（ユーザ名＋パスワード認証）がよく使われる

特徴
パスワード認証でも 盗聴されにくい（平文が流れない）
クライアント側はサーバ証明書を検証するため、なりすましサーバ対策にもなる
無線LANの WPA2-Enterprise や WPA3-Enterprise で広く利用
"
256,"DJ-SC-R3A

次の表において, ""在庫""表の製品番号に参照制約が定義されているとき,その参照制約によって拒否される可能性のある操作はどれか。 ここで, 実線の下線は主キーを、破線の下線は 外部キーを表す。

在庫(在庫管理番号, 製品番号, 在庫量)
　　 　＝＝＝＝＝＝　ーーーーー
      
製品(製品番号 製品名, 型, 単価)
      　＝＝＝＝

ア　""在庫""表の行削除

イ　""在庫""表の表削除

ウ　""在庫""表への行追加

エ　""製品""表への行追加
","【正解】　ウ　
“あなたの解答:工”

ChatGPT:
良い質問です。
「参照制約（さんしょうせいやく）」とは、リレーショナルデータベース（RDB）におけるデータの整合性を保つための制約（ルール）の一つです。

はい、非常に正確な質問です。
結論から言うと、✅ 「はい、CONSTRAINT が参照制約（参照整合性制約）を決定しています。」
"
257,"DJ-SC-R3A

ブルーレイディスクで使われているコンテンツ保護技術はどれか。

ア　AACS

イ　CPRM

ウ　CSS

エ　WMRM
","【正解】　ア

ア　AACS：Blu-ray Disc や HD DVD で使用される、映像コンテンツの暗号化・著作権保護技術。

イ　CPRM：記録型メディア（DVD-R など）に録画したデジタル放送をコピー制御するための技術。

ウ　CSS：DVD-Video で使われる、コンテンツを暗号化して不正コピーを防ぐ暗号化技術。

エ　WMRM：マイクロソフトが開発した、音楽や動画の利用制限を管理するDRM（デジタル著作権管理）技術。
"
258,"DJ-SC-R3A

サイバー情報共有イニシアティブ(J-CSIP)の説明として,適切なものはどれか。

ア　サイバー攻撃対策に関する情報セキュリティ監査を参加組織間で相互に実施して, 監 査結果を共有する取組み

イ　参加組織がもつデータを相互にバックアップして、サイバー攻撃から保護する取組み

ウ　セキュリティ製品のサイバー攻撃に対する有効性に関する情報を参加組織が取りまとめ、その情報を活用できるように公開する取組み

エ　標的型サイバー攻撃などに関する情報を参加組織間で共有し, 高度なサイバー攻撃対 策につなげる取組み

","【正解】　エ
 “あなたの解答: ウ”

J-CSIP（サイバー情報共有イニシアティブ） は、IPA（情報処理推進機構）が主導している取り組みで、企業や業界団体などが標的型攻撃に関する情報を共有し、被害の未然防止につなげる ことを目的としています。

🧩 J-CSIPの仕組み
参加組織（企業・業界団体） → 攻撃メールや不審通信の情報をIPAへ提供

IPA → 提供された情報を分析・加工し、同様の攻撃を受けていない他の組織にも「注意喚起」や「傾向分析」を共有
"
259,"DJ-SC-R3A

RFC 8110に基づいたものであり,公衆無線LANなどでパスフレーズなどでの認証なしに, 端末とアクセスポイントとの間の無線通信を暗号化するものの名前は。



","Enhanced Open

Enhanced Open は、Wi-Fi接続時にパスワードなしでも通信を暗号化できる仕組みです。
内部では ディフィ・ヘルマン鍵共有（Diffie-Hellman key exchange） を用いて、接続ごとに端末とアクセスポイントが共通の暗号鍵を自動生成し、通信を AESで暗号化します。
"
260,"DJ-SC-R3A

ETSI(欧州電気通信標準化機構)が提唱するNFV (Network Functions Virtualisation) に関する記述のうち,適切なものはどれか。

ア　ONF(Open Networking Foundation)3SDN (Software-Defined Networkin g)を用いて, 仮想化を実現する。

イ　OpenFlowコントローラーやOpenFlow スイッチなどのOpenFlow プロトコルの専用 機器だけを使ってネットワークを構築する。

ウ　ルータ, ファイアウォールなどのネットワーク機能を, 汎用サーバを使った仮想マシン上のソフトウェアで実現する。

エ　ロードバランサー、スイッチ, ルータなどの専用機器を使って, VLAN, VPNなどの仮想ネットワークを実現する。
","ウ　“あなたの解答: ア""

NFV（Network Functions Virtualisation） とは、従来専用ハードウェアで提供されていたルーター、ファイアウォール、ロードバランサなどのネットワーク機能を、汎用サーバ上のソフトウェアとして仮想化する技術です。これにより、ハードウェア依存を減らし、柔軟なスケーリングや迅速なサービス展開が可能になります。

ア　SDNがデータ転送をネットワーク機器で、転送制御をソフトウェアで行うという考え方で、実際のデータ転送はネットワーク機器が行います。一方、NFVではネットワーク機 器を使用しません。

イ　汎用サーバでネットワーク機能を実現するので、 OpenFlow プロトコルの専用機器は使用しません。

ウ　正しい。

エ　VLAN、VPNなどの仮想ネットワークの構築もできますが、専用機器ではなく汎用サー バを使用します。
"
261,"DJ-SC-R3A

検査対象ファイルと安全な場所に保管してあるファイル原本を比較して、 異なっていればマルウェアとして判定する手法

シグネチャコードと呼ばれる既知のマルウェアに特徴的なコードパターンをデータベース化し、検査対象のファイルがそのパターンを有していればマルウェアと判定する手法

あらかじめファイル原本に正当性を保証する情報(チェックサムやデジタル署名など)を付加しておき、検査対象ファイルで再計算した値が異なっていればマルウェアとして判定する手法。 インテグリティチェック法とも呼ばれる

マルウェアのとるであろう動作を事前に登録しておき、検査対象コードに含まれる一連の動作と比較して検出する手法

実際に検査対象のプログラムを動作させ、その挙動を監視して不正な行動があればマルウェアと判定する手法です。

","コンペア法

パターンマッチング法

チェックサム法

ヒューリスティック法

ビヘイビア法
"
262,"DJ-SC-R3A

ア　IPV4 DHCPが使用できないときに自動生成されるIPアドレスとして使用されるアドレスは。
","169.254.x.y 

リンクローカルアドレスの説明です。 DHCPが使用できないときにIPアドレスを自動設定する機能をAPIPA(Automatic Private IP Addressing)という。
"
263,"DJ-SC-R3A

占有ロックと共有ロック
","1. 占有ロック（Exclusive Lock / Xロック）
データに対して読み書き両方を排他でロックする。
他のトランザクションは読み取りも書き込みもできない。
書き込み（更新・削除）時に使用。

2. 共有ロック（Shared Lock / Sロック）
データを読み取り専用で複数トランザクションが共有できるロック。
他のトランザクションは読み取りは可能、書き込みは不可。
読み取り時に使用。
"
264,"DJ-SC-R3A

エクストリームプログラミング (XP:eXtreme Programming)における""テスト駆動開発""の特徴はどれか。

ア　最初のテストで,なるべく多くのバグを摘出する。

イ　テストケースの改善を繰り返す。

ウ　テストでのカバレージを高めることを目的とする。

エ　プログラムを書く前にテストコードを記述する。

","【正解】　エ　
“あなたの解答:イ”　← また間違えた

エクストリームプログラミング (XP:eXtreme Programming)は、1990年代後半、Kent Bec k氏らによって提唱されたソフトウェア開発手法で、アジャイルソフトウェア開発と称され る一連の手法の先駆けとなったものです。 『プログラマーは人間である』という思想のも と、叩き台となるプログラムを早期に開発し、短いサイクルで頻繁にテストとリリースを繰 り返すことで、顧客の要求への対応力と生産性を高め、リスクを軽減することを目的として います。

テスト駆動開発は、 XPのプラクティスのうちの1つで、 求める機能を明確化するために、プ ログラムを記述するよりも前にテストケースを作成する開発手法です。そのテストをパスする最低限の実装を行った後で、機能を維持したままコードを洗練していくという手順で開発 を進めます。
"
265,"DJ-SC-R3S

JIS X 25010:2013 (システム及びソフトウェア製品の品質要求及び評価 (SQuaRE)-システム及びソフトウェア品質モデル) で定義されたシステム及び/又はソフトウェア製品の品質特性に関する説明のうち、 適切なものはどれか。

ア　機能適合性とは, 明示された状況下で使用するとき, 明示的ニーズ及び暗黙のニーズ を満足させる機能を、 製品又はシステムが提供する度合いのことである。

イ　信頼性とは,明記された状態(条件) で使用する資源の量に関係する性能の度合いのこ とである。

ウ　効率性及び満足性をもって 明示された目標を達成するために,明示された利用者が製品又はシステムを利用する ことができる度合いのことである。

エ　性能効率性とは,明示された利用状況において, 有効性、保守性とは,明示された時間帯で, 明示された条件下に, システム, 製品又は構成要素が明示された機能を実行する度合いのことである。
","【正解】　ア
“あなたの解答:工”　← 「製品の品質特性に関する説明」ごちゃごちゃした表現でこれを読み飛ばしてしまった。毎度ながら。

ア　正しい。 機能適合性の定義です。

イ　記述は性能効率性の定義です。

ウ　記述は使用性の定義です。

エ　記述は信頼性の定義です。
"
266,"DJ-SC-R2A

""イテレーション""とは。

""スクラム開発""とは。

""スプリント""とは。
","ソフトウェア開発（アジャイル）

""イテレーション""とは。Iteration：　反復
開発プロセスで、短い期間ごとに計画・設計・実装・テストを繰り返すこと
例：スクラム開発のスプリント（1～2週間単位の反復サイクル）

スクラム開発（Scrum）: Scrum は元々ラグビーの用語で、スクラム（スクラム形成） を指す
アジャイル開発手法の一つで、チームで協力して短期間でソフトウェアを反復的に開発するプロセス

スプリント（Sprint）「短距離を全力で駆け抜ける」というイメージが残っている
スクラム開発における 短期間の反復作業期間

"
267,"DJ-SC-R2A

経済産業省が""サイバー・フィジカル・セキュリティ対策フレームワーク (Version 1.0)"" を策 定した主な目的の一つはどれか。

ア　ICTを活用し,場所や時間を有効に活用できる柔軟な働き方 (テレワーク)の形態を示 し,テレワークの形態に応じた情報セキュリティ対策の考え方を示すこと

イ　新たな産業社会において付加価値を創造する活動が直面するリスクを適切に捉えるた めのモデルを構築し、求められるセキュリティ対策の全体像を整理すること

ウ　クラウドサービスの利用者と提供者が,セキュリティ管理策の実施について容易に連 携できるように, 実施の手引を利用者向けと提供者向けの対で記述すること

エ　データセンターの利用者と事業者に対して""データセンターの適切なセキュリティ""とは何かを考え, 共有すべき知見を提供すること
","【正解】　イ
“あなたの解答: ア”　← 阿保くさい問題も覚えるしかない

ア　テレワークセキュリティガイドライン""の策定目的です。

イ　正しい。 ""サイバー・フィジカル・セキュリティ対策フレームワーク""の策定目的です。

ウ　経済産業省 ""クラウドサービス利用のための情報セキュリティマネジメントガイドライ　ン""と、総務省""クラウドサービス提供における情報セキュリティ対策ガイドライン""の策 定目的です。

エ　""データセンターセキュリティガイドブック""の策定目的です。
"
